asin,sku,product_name,color,brand,series,product_type,piece_count,orientation,category,unit_cost,fba_stock,ly_aur,ly_revenue,ly_units,ly_profit,planned_annual_units,list_price,sale_price,referral_pct,coupon_type,coupon_value,carton_pack,carton_length,carton_width,carton_height,carton_weight,division,customer
B0B2SBQ2R7,GGWMSS222910,PGAT G1 RH 10pc Orange Golf Club Set Junior Sets,Orange,PGAT,G1,Golf Club Set,10,RH,Junior Clubs,0,0,187.99,3759.81,20,243.74,102,0,0,15.0,,0,1,0,0,0,0,golf,amazon
B0CQKQ3VRK,GGLFTSS222910,PGAT G1 LH 10pc Orange Golf Club Set Junior Sets,Orange,PGAT,G1,Golf Club Set,10,LH,Junior Clubs,0,8,230.77,168000.15,728,47879.96,728,0,0,15.0,,0,1,0,0,0,0,golf,amazon
B0B2SL7HBQ,GGWMSS2121BM,PGAT G1 RH 7pc Orange Golf Club Set Junior Sets,Orange,PGAT,G1,Golf Club Set,7,RH,Junior Clubs,0,0,151.68,102840.83,678,10655.7,678,0,0,15.0,,0,1,0,0,0,0,golf,amazon
B0FCJZJMWJ,GGRTNW21196,PGAT G1 RH 6pc Orange Golf Club Set Clubs,Orange,PGAT,G1,Golf Club Set,6,RH,Junior Clubs,0,73,154.94,48806.86,315,23225.22,315,0,0,15.0,,0,1,0,0,0,0,golf,amazon
B0B9CCPBHV,GGWMSS2230BM,PGAT G1 RH Orange Driver Clubs,Orange,PGAT,G1,Driver,,RH,Junior Clubs,0,13,52.58,2839.46,54,-590.25,54,0,0,15.0,,0,1,0,0,0,0,golf,amazon
B0BC9YT1XV,GGWMSS2231BM,PGAT G1 RH Orange 7 Iron Clubs,Orange,PGAT,G1,7 Iron,,RH,Junior Clubs,0,18,41.65,4664.38,112,-1646.91,112,0,0,15.0,,0,12,0,0,0,0,golf,amazon
B0BC9W1LSY,GGWMSS2232BM,PGAT G1 RH Orange Putter Clubs,Orange,PGAT,G1,Putter,,RH,Junior Clubs,0,99,39.83,3067.24,77,-72.79,77,0,0,15.0,,0,12,0,0,0,0,golf,amazon
B0B2YLNSV2,GGWMSS2235BM,PGAT Practice Aids Chipping Net Practice Aids,Multi,PGAT,Practice Aids,Putting Rings,,,Training Aids,0,0,38.93,54934.91,1411,9997.89,1988,0,0,15.0,,0,6,0,0,0,0,golf,amazon
B0B2SKZ38L,GGWMSS2240BM,PGAT TU LH 3pc Practice Set Practice Aids,Orange,PGAT,Tee Up,Practice Set,3,LH,Practice Clubs,0,5,37.74,18794.38,498,2143.25,498,0,0,15.0,,0,6,0,0,0,0,golf,amazon
B0B2YBWKL8,GGWMSS2236BM,PGAT TU RH 3pc Practice Set Practice Aids,Red,PGAT,Tee Up,Practice Set,3,RH,Practice Clubs,0,22,36.9,15793.35,428,1812.26,428,0,0,15.0,,0,6,0,0,0,0,golf,amazon
B0DC1TJ21F,GGP1X2000,PGAT P1 Extreme RH 17pc Black Golf Club Set Clubs,Black,PGAT,P1 Extreme,Golf Club Set,17,RH,Junior Clubs,0,2,794.73,15099.81,19,-4396.13,19,0,0,15.0,,0,1,0,0,0,0,golf,amazon
B0B2SKB7ND,GGWMSS2239BM,PGAT TU LH 3pc Practice Set Practice Aids,Red,PGAT,Tee Up,Practice Set,3,LH,Practice Clubs,0,0,39.99,39.99,1,-4.16,1,0,0,15.0,,0,1,0,0,0,0,golf,amazon
B0B2T894VG,GGWMSS2237BM,PGAT TU RH 3pc Practice Set Practice Aids,Orange,PGAT,Tee Up,Practice Set,3,RH,Practice Clubs,0,6,36.98,12610.39,341,1768.77,341,0,0,15.0,,0,6,0,0,0,0,golf,amazon
B0B2SYDXTJ,GGWMSS2241BM,PGAT TU LH 3pc Practice Set Practice Aids,Green,PGAT,Tee Up,Practice Set,3,LH,Practice Clubs,0,9,38.86,8899.71,229,-8890.96,229,0,0,15.0,,0,6,0,0,0,0,golf,amazon
B0B2SLTZNG,GGWMSS2238BM,PGAT TU RH 3pc Practice Set Practice Aids,Green,PGAT,Tee Up,Practice Set,3,RH,Practice Clubs,0,12,38.33,9006.98,235,-1562.89,235,0,0,15.0,,0,6,0,0,0,0,golf,amazon
